Company,TypeName,Inches,Ram,OpSys,Weight,Price,HasIpsPanel,HasTouchScreen,ResWidth,ResHeight,ResCategory,Ppi,Ssd,Hdd,Flash,Hybrid,CpuCategory,CpuSpeedGhz,GpuCategory
Lenovo,Notebook,15.6,4,No OS,1.9,13446,0,0,1366,768,Low,100.45,0,1000,0,0,Other Intel,1.1,Intel Low-End
Asus,Gaming,17.3,8,Windows 10,3.0,49977,0,0,1920,1080,Mid,127.34,128,1000,0,0,Intel Core i5,2.5,Nvidia High-End
Lenovo,Notebook,15.6,4,No OS,2.2,26587,0,0,1920,1080,Mid,141.21,0,1000,0,0,Intel Core i5,2.5,Nvidia Low-End
HP,Notebook,13.3,4,Windows 10,1.32,37243,1,0,1920,1080,Mid,165.63,256,0,0,0,Intel Core i5,2.5,Intel Low-End
Acer,Notebook,17.3,4,Windows 10,3.0,34898,1,0,1920,1080,Mid,127.34,0,1000,0,0,Intel Core i3,2.7,Nvidia Mid-End
Lenovo,Notebook,14.0,8,Windows 10,1.75,59462,1,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i5,1.6,AMD High-End
Lenovo,Gaming,15.6,8,No OS,2.4,46300,1,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,2.8,Nvidia High-End
Toshiba,Notebook,15.6,4,Windows 10,2.1,32075,0,0,1366,768,Low,100.45,0,500,0,0,Intel Core i5,2.3,Intel Low-End
HP,Notebook,15.6,4,Windows 10,1.86,19660,0,0,1366,768,Low,100.45,256,0,0,0,AMD A6,2.5,AMD Low-End
Asus,Ultrabook,14.0,8,Windows 10,1.25,58555,0,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i7,1.8,Intel Mid-End
HP,Ultrabook,12.5,8,Windows 10,0.97,107306,1,1,3840,2160,Ultra,352.47,512,0,0,0,Other Intel,1.2,Intel Low-End
Asus,Notebook,15.6,4,Windows 10,2.0,18328,0,0,1920,1080,Mid,141.21,0,1000,0,0,Other Intel,1.1,Intel Low-End
MSI,Gaming,17.3,16,Windows 10,2.9,108105,0,0,1920,1080,Mid,127.34,256,1000,0,0,Intel Core i7,2.8,Nvidia High-End
Acer,Notebook,15.6,4,Windows 10,2.1,23816,0,0,1366,768,Low,100.45,0,1000,0,0,Intel Core i3,2.0,Intel Low-End
Dell,Gaming,15.6,16,Windows 10,2.56,66561,0,0,1920,1080,Mid,141.21,512,0,0,0,Intel Core i7,2.8,Nvidia High-End
Dell,Gaming,15.6,8,Windows 10,2.62,47899,0,0,1920,1080,Mid,141.21,0,0,0,1000,Intel Core i7,2.8,Nvidia High-End
Lenovo,Notebook,15.6,4,Windows 10,1.9,26533,0,0,1366,768,Low,100.45,128,0,0,0,Intel Core i5,2.5,Intel Low-End
MSI,Gaming,17.3,16,Windows 10,2.8,100699,0,0,1920,1080,Mid,127.34,256,1000,0,0,Intel Core i7,2.8,Nvidia High-End
HP,Ultrabook,14.0,4,Windows 10,1.48,57649,0,0,1920,1080,Mid,157.35,256,0,0,0,Intel Core i5,2.7,Intel Low-End
HP,Notebook,15.6,6,Windows 10,1.91,32980,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,1.6,AMD Mid-End
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,33513,1,1,1920,1080,Mid,157.35,256,0,0,0,Intel Core i3,2.4,Intel Low-End
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,70063,0,1,1920,1080,Mid,165.63,256,0,0,0,Intel Core i5,1.6,Intel Low-End
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,55891,0,1,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,1.8,Intel Mid-End
Toshiba,Notebook,15.6,4,Windows 10,2.1,23816,0,0,1366,768,Low,100.45,0,500,0,0,Intel Core i3,2.2,Intel Low-End
Asus,Notebook,15.6,4,Windows 10,2.03,21472,0,0,1366,768,Low,100.45,0,1000,0,0,AMD A9,3.0,AMD Low-End
Acer,Notebook,17.3,4,Windows 10,3.0,42890,1,0,1920,1080,Mid,127.34,256,0,0,0,Intel Core i5,1.6,Nvidia Mid-End
Dell,Notebook,15.6,8,Windows 10,2.13,38788,0,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,1.6,AMD Mid-End
Lenovo,Gaming,15.6,16,Windows 10,2.5,57489,1,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i7,2.8,Nvidia High-End
Acer,Notebook,15.6,4,Windows 10,2.1,18541,0,0,1366,768,Low,100.45,0,1000,0,0,Other Intel,1.1,Intel Low-End
MSI,Gaming,15.6,16,Windows 10,2.4,95851,1,0,1920,1080,Mid,141.21,256,1000,0,0,Intel Core i7,2.8,Nvidia High-End
Acer,Notebook,15.6,4,Windows 10,2.1,19368,0,0,1366,768,Low,100.45,0,1000,0,0,Other Intel,1.1,Intel Low-End
Dell,Gaming,15.6,8,Windows 10,2.56,56503,0,0,1920,1080,Mid,141.21,128,1000,0,0,Intel Core i7,2.8,Nvidia High-End
Acer,Notebook,17.3,8,Windows 10,3.0,45501,1,0,1920,1080,Mid,127.34,256,0,0,0,Intel Core i5,1.6,Nvidia Mid-End
HP,Notebook,13.3,4,Windows 10,1.49,40173,1,0,1920,1080,Mid,165.63,0,500,0,0,Intel Core i5,1.6,Intel Mid-End
Huawei,Ultrabook,13.0,8,Windows 10,1.05,71875,1,0,2160,1440,High,199.69,256,0,0,0,Intel Core i5,2.5,Intel Low-End
HP,Notebook,17.3,6,Windows 10,2.71,37243,1,0,1920,1080,Mid,127.34,0,2000,0,0,Intel Core i5,2.5,AMD Mid-End
Lenovo,Notebook,15.6,4,No OS,2.2,16464,0,0,1366,768,Low,100.45,0,500,0,0,AMD A6,2.9,AMD Low-End
Toshiba,Notebook,15.6,4,Windows 10,2.0,26054,0,0,1366,768,Low,100.45,0,500,0,0,Intel Core i3,2.4,Intel Low-End
HP,Notebook,17.3,8,Windows 10,2.5,49177,0,0,1920,1080,Mid,127.34,256,0,0,0,Intel Core i5,1.6,Nvidia Mid-End
Dell,Notebook,15.6,8,Windows 10,2.3,24456,0,0,1366,768,Low,100.45,0,1000,0,0,Intel Core i3,2.4,Intel Low-End
Acer,Notebook,15.6,4,Windows 10,2.1,23923,0,0,1366,768,Low,100.45,128,0,0,0,Intel Core i3,2.0,Intel Low-End
MSI,Gaming,18.4,32,Windows 10,4.4,149131,0,0,1920,1080,Mid,119.72,512,1000,0,0,Intel Core i7,2.9,Nvidia High-End
Lenovo,Notebook,15.6,8,Windows 10,1.9,43317,0,0,1920,1080,Mid,141.21,128,1000,0,0,Intel Core i5,2.5,AMD Other
HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,79867,1,1,3840,2160,Ultra,331.26,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
Dell,Notebook,15.6,16,Linux,2.02,55891,0,0,1920,1080,Mid,141.21,256,2000,0,0,Intel Core i7,1.8,AMD Mid-End
Dell,Ultrabook,13.3,8,Windows 10,1.23,74539,0,0,1920,1080,Mid,165.63,256,0,0,0,Intel Core i5,1.6,Intel Mid-End
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,98515,1,1,3840,2160,Ultra,316.97,512,0,0,0,Intel Core i7,1.8,Intel Mid-End
Toshiba,Notebook,15.6,8,Windows 10,2.0,42251,0,0,1366,768,Low,100.45,128,0,0,0,Intel Core i5,2.5,Intel Low-End
Xiaomi,Notebook,15.6,8,No OS,1.95,63883,1,0,1920,1080,Mid,141.21,256,0,0,0,Intel Core i5,1.6,Nvidia Mid-End
